x, y, z
2,5.8889,-0.55263
2,6.1111,-0.55263
2,6.3333,-0.55263
2,6.5556,-0.55263
2,6.7778,-0.55263
2,7,-0.55263
2.1667,5,-0.55263
2.1667,5.2222,-0.55263
2.1667,5.4444,-0.55263
2.1667,5.6667,-0.55263
2.1667,5.8889,-0.55263
2.1667,6.1111,-0.55263
2.1667,6.3333,-0.55263
2.1667,6.5556,-0.55263
2.1667,6.7778,-0.55263
2.1667,7,-0.55263
2.3333,5,-0.55263
2.3333,5.2222,-0.55263
2.3333,5.4444,-0.55263
2.3333,5.6667,-0.55263
2.3333,5.8889,-0.55263
2.3333,6.1111,-0.55263
2.3333,6.3333,-0.55263
2.3333,6.5556,-0.55263
2.3333,6.7778,-0.55263
2.3333,7,-0.55263
2.5,5,-0.55263
2.5,5.2222,-0.55263
2.5,5.4444,-0.55263
2.5,5.6667,-0.55263
2.5,5.8889,-0.55263
2.5,6.1111,-0.55263
2.5,6.3333,-0.55263
2.5,6.5556,-0.55263
2.5,6.7778,-0.55263
2.5,7,-0.55263
1,5,-0.39474
1,5.2222,-0.39474
1,5.4444,-0.39474
1,5.6667,-0.39474
1,5.8889,-0.39474
1,6.1111,-0.39474
1,6.3333,-0.39474
1,6.5556,-0.39474
1,6.7778,-0.39474
1,7,-0.39474
1.1667,5,-0.39474
1.1667,5.2222,-0.39474
1.1667,5.4444,-0.39474
1.1667,5.6667,-0.39474
1.1667,5.8889,-0.39474
1.1667,6.1111,-0.39474
1.1667,6.3333,-0.39474
1.1667,6.5556,-0.39474
1.1667,6.7778,-0.39474
1.1667,7,-0.39474
1.3333,5,-0.39474
1.3333,5.2222,-0.39474
1.3333,5.4444,-0.39474
1.3333,5.6667,-0.39474
1.3333,5.8889,-0.39474
1.3333,6.1111,-0.39474
1.3333,6.3333,-0.39474
1.3333,6.5556,-0.39474
1.3333,6.7778,-0.39474
1.3333,7,-0.39474
1.5,5,-0.39474
1.5,5.2222,-0.39474
1.5,5.4444,-0.39474
1.5,5.6667,-0.39474
1.5,5.8889,-0.39474
1.5,6.1111,-0.39474
1.5,6.3333,-0.39474
1.5,6.5556,-0.39474
1.5,6.7778,-0.39474
1.5,7,-0.39474
1.6667,5,-0.39474
1.6667,5.2222,-0.39474
1.6667,5.4444,-0.39474
1.6667,5.6667,-0.39474
1.6667,5.8889,-0.39474
1.6667,6.1111,-0.39474
1.6667,6.3333,-0.39474
1.6667,6.5556,-0.39474
1.6667,6.7778,-0.39474
1.6667,7,-0.39474
1.8333,5,-0.39474
1.8333,5.2222,-0.39474
1.8333,5.4444,-0.39474
1.8333,5.6667,-0.39474
1.8333,5.8889,-0.39474
1.8333,6.1111,-0.39474
1.8333,6.3333,-0.39474
1.8333,6.5556,-0.39474
1.8333,6.7778,-0.39474
1.8333,7,-0.39474
2,5,-0.39474
2,5.2222,-0.39474
2,5.4444,-0.39474
2,5.6667,-0.39474
2,5.8889,-0.39474
2,6.1111,-0.39474
2,6.3333,-0.39474
2,6.5556,-0.39474
2,6.7778,-0.39474
2,7,-0.39474
2.1667,5,-0.39474
2.1667,5.2222,-0.39474
2.1667,5.4444,-0.39474
2.1667,5.6667,-0.39474
2.1667,5.8889,-0.39474
2.1667,6.1111,-0.39474
2.1667,6.3333,-0.39474
2.1667,6.5556,-0.39474
2.1667,6.7778,-0.39474
2.1667,7,-0.39474
2.3333,5,-0.39474
2.3333,5.2222,-0.39474
2.3333,5.4444,-0.39474
2.3333,5.6667,-0.39474
2.3333,5.8889,-0.39474
2.3333,6.1111,-0.39474
2.3333,6.3333,-0.39474
2.3333,6.5556,-0.39474
2.3333,6.7778,-0.39474
2.3333,7,-0.39474
2.5,5,-0.39474
2.5,5.2222,-0.39474
2.5,5.4444,-0.39474
2.5,5.6667,-0.39474
2.5,5.8889,-0.39474
2.5,6.1111,-0.39474
2.5,6.3333,-0.39474
2.5,6.5556,-0.39474
2.5,6.7778,-0.39474
2.5,7,-0.39474
1,5,-0.23684
1,5.2222,-0.23684
1,5.4444,-0.23684
1,5.6667,-0.23684
1,5.8889,-0.23684
1,6.1111,-0.23684
1,6.3333,-0.23684
1,6.5556,-0.23684
1,6.7778,-0.23684
1,7,-0.23684
1.1667,5,-0.23684
1.1667,5.2222,-0.23684
1.1667,5.4444,-0.23684
1.1667,5.6667,-0.23684
1.1667,5.8889,-0.23684
1.1667,6.1111,-0.23684
1.1667,6.3333,-0.23684
1.1667,6.5556,-0.23684
1.1667,6.7778,-0.23684
1.1667,7,-0.23684
1.3333,5,-0.23684
1.3333,5.2222,-0.23684
1.3333,5.4444,-0.23684
1.3333,5.6667,-0.23684
1.3333,5.8889,-0.23684
1.3333,6.1111,-0.23684
1.3333,6.3333,-0.23684
1.3333,6.5556,-0.23684
1.3333,6.7778,-0.23684
1.3333,7,-0.23684
1.5,5,-0.23684
1.5,5.2222,-0.23684
1.5,5.4444,-0.23684
1.5,5.6667,-0.23684
1.5,5.8889,-0.23684
1.5,6.1111,-0.23684
1.5,6.3333,-0.23684
1.5,6.5556,-0.23684
1.5,6.7778,-0.23684
1.5,7,-0.23684
1.6667,5,-0.23684
1.6667,5.2222,-0.23684
1.6667,5.4444,-0.23684
1.6667,5.6667,-0.23684
1.6667,5.8889,-0.23684
1.6667,6.1111,-0.23684
1.6667,6.3333,-0.23684
1.6667,6.5556,-0.23684
1.6667,6.7778,-0.23684
1.6667,7,-0.23684
1.8333,5,-0.23684
1.8333,5.2222,-0.23684
1.8333,5.4444,-0.23684
1.8333,5.6667,-0.23684
1.8333,5.8889,-0.23684
1.8333,6.1111,-0.23684
1.8333,6.3333,-0.23684
1.8333,6.5556,-0.23684
1.8333,6.7778,-0.23684
1.8333,7,-0.23684
2,5,-0.23684
2,5.2222,-0.23684
2,5.4444,-0.23684
2,5.6667,-0.23684
2,5.8889,-0.23684
2,6.1111,-0.23684
2,6.3333,-0.23684
2,6.5556,-0.23684
2,6.7778,-0.23684
2,7,-0.23684
2.1667,5,-0.23684
2.1667,5.2222,-0.23684
2.1667,5.4444,-0.23684
2.1667,5.6667,-0.23684
2.1667,5.8889,-0.23684
2.1667,6.1111,-0.23684
2.1667,6.3333,-0.23684
2.1667,6.5556,-0.23684
2.1667,6.7778,-0.23684
2.1667,7,-0.23684
2.3333,5,-0.23684
2.3333,5.2222,-0.23684
2.3333,5.4444,-0.23684
2.3333,5.6667,-0.23684
2.3333,5.8889,-0.23684
2.3333,6.1111,-0.23684
2.3333,6.3333,-0.23684
2.3333,6.5556,-0.23684
2.3333,6.7778,-0.23684
2.3333,7,-0.23684
2.5,5,-0.23684
2.5,5.2222,-0.23684
2.5,5.4444,-0.23684
2.5,5.6667,-0.23684
2.5,5.8889,-0.23684
2.5,6.1111,-0.23684
2.5,6.3333,-0.23684
2.5,6.5556,-0.23684
2.5,6.7778,-0.23684
2.5,7,-0.23684
1,5,-0.078947
1,5.2222,-0.078947
1,5.4444,-0.078947
1,5.6667,-0.078947
1,5.8889,-0.078947
1,6.1111,-0.078947
1,6.3333,-0.078947
1,6.5556,-0.078947
1,6.7778,-0.078947
1,7,-0.078947
1.1667,5,-0.078947
1.1667,5.2222,-0.078947
1.1667,5.4444,-0.078947
1.1667,5.6667,-0.078947
1.1667,5.8889,-0.078947
1.1667,6.1111,-0.078947
1.1667,6.3333,-0.078947
1.1667,6.5556,-0.078947
1.1667,6.7778,-0.078947
1.1667,7,-0.078947
1.3333,5,-0.078947
1.3333,5.2222,-0.078947
1.3333,5.4444,-0.078947
1.3333,5.6667,-0.078947
1.3333,5.8889,-0.078947
1.3333,6.1111,-0.078947
1.3333,6.3333,-0.078947
1.3333,6.5556,-0.078947
1.3333,6.7778,-0.078947
1.3333,7,-0.078947
1.5,5,-0.078947
1.5,5.2222,-0.078947
1.5,5.4444,-0.078947
1.5,5.6667,-0.078947
1.5,5.8889,-0.078947
1.5,6.1111,-0.078947
1.5,6.3333,-0.078947
1.5,6.5556,-0.078947
1.5,6.7778,-0.078947
1.5,7,-0.078947
1.6667,5,-0.078947
1.6667,5.2222,-0.078947
1.6667,5.4444,-0.078947
1.6667,5.6667,-0.078947
1.6667,5.8889,-0.078947
1.6667,6.1111,-0.078947
1.6667,6.3333,-0.078947
1.6667,6.5556,-0.078947
1.6667,6.7778,-0.078947
1.6667,7,-0.078947
1.8333,5,-0.078947
1.8333,5.2222,-0.078947
1.8333,5.4444,-0.078947
1.8333,5.6667,-0.078947
1.8333,5.8889,-0.078947
1.8333,6.1111,-0.078947
1.8333,6.3333,-0.078947
1.8333,6.5556,-0.078947
1.8333,6.7778,-0.078947
1.8333,7,-0.078947
2,5,-0.078947
2,5.2222,-0.078947
2,5.4444,-0.078947
2,5.6667,-0.078947
2,5.8889,-0.078947
2,6.1111,-0.078947
2,6.3333,-0.078947
2,6.5556,-0.078947
2,6.7778,-0.078947
2,7,-0.078947
2.1667,5,-0.078947
2.1667,5.2222,-0.078947
2.1667,5.4444,-0.078947
2.1667,5.6667,-0.078947
2.1667,5.8889,-0.078947
2.1667,6.1111,-0.078947
2.1667,6.3333,-0.078947
2.1667,6.5556,-0.078947
2.1667,6.7778,-0.078947
2.1667,7,-0.078947
2.3333,5,-0.078947
2.3333,5.2222,-0.078947
2.3333,5.4444,-0.078947
2.3333,5.6667,-0.078947
2.3333,5.8889,-0.078947
2.3333,6.1111,-0.078947
2.3333,6.3333,-0.078947
2.3333,6.5556,-0.078947
2.3333,6.7778,-0.078947
2.3333,7,-0.078947
2.5,5,-0.078947
2.5,5.2222,-0.078947
2.5,5.4444,-0.078947
2.5,5.6667,-0.078947
2.5,5.8889,-0.078947
2.5,6.1111,-0.078947
2.5,6.3333,-0.078947
2.5,6.5556,-0.078947
2.5,6.7778,-0.078947
2.5,7,-0.078947
1,5,0.078947
1,5.2222,0.078947
1,5.4444,0.078947
1,5.6667,0.078947
1,5.8889,0.078947
1,6.1111,0.078947
1,6.3333,0.078947
1,6.5556,0.078947
1,6.7778,0.078947
1,7,0.078947
1.1667,5,0.078947
1.1667,5.2222,0.078947
1.1667,5.4444,0.078947
1.1667,5.6667,0.078947
1.1667,5.8889,0.078947
1.1667,6.1111,0.078947
1.1667,6.3333,0.078947
1.1667,6.5556,0.078947
1.1667,6.7778,0.078947
1.1667,7,0.078947
1.3333,5,0.078947
1.3333,5.2222,0.078947
1.3333,5.4444,0.078947
1.3333,5.6667,0.078947
1.3333,5.8889,0.078947
1.3333,6.1111,0.078947
1.3333,6.3333,0.078947
1.3333,6.5556,0.078947
1.3333,6.7778,0.078947
1.3333,7,0.078947
1.5,5,0.078947
1.5,5.2222,0.078947
1.5,5.4444,0.078947
1.5,5.6667,0.078947
1.5,5.8889,0.078947
1.5,6.1111,0.078947
1.5,6.3333,0.078947
1.5,6.5556,0.078947
1.5,6.7778,0.078947
1.5,7,0.078947
1.6667,5,0.078947
1.6667,5.2222,0.078947
1.6667,5.4444,0.078947
1.6667,5.6667,0.078947
1.6667,5.8889,0.078947
1.6667,6.1111,0.078947
1.6667,6.3333,0.078947
1.6667,6.5556,0.078947
1.6667,6.7778,0.078947
1.6667,7,0.078947
1.8333,5,0.078947
1.8333,5.2222,0.078947
1.8333,5.4444,0.078947
1.8333,5.6667,0.078947
1.8333,5.8889,0.078947
1.8333,6.1111,0.078947
1.8333,6.3333,0.078947
1.8333,6.5556,0.078947
1.8333,6.7778,0.078947
1.8333,7,0.078947
2,5,0.078947
2,5.2222,0.078947
2,5.4444,0.078947
2,5.6667,0.078947
2,5.8889,0.078947
2,6.1111,0.078947
2,6.3333,0.078947
2,6.5556,0.078947
2,6.7778,0.078947
2,7,0.078947
2.1667,5,0.078947
2.1667,5.2222,0.078947
2.1667,5.4444,0.078947
2.1667,5.6667,0.078947
2.1667,5.8889,0.078947
2.1667,6.1111,0.078947
2.1667,6.3333,0.078947
2.1667,6.5556,0.078947
2.1667,6.7778,0.078947
2.1667,7,0.078947
2.3333,5,0.078947
2.3333,5.2222,0.078947
2.3333,5.4444,0.078947
2.3333,5.6667,0.078947
2.3333,5.8889,0.078947
2.3333,6.1111,0.078947
2.3333,6.3333,0.078947
2.3333,6.5556,0.078947
2.3333,6.7778,0.078947
2.3333,7,0.078947
2.5,5,0.078947
2.5,5.2222,0.078947
2.5,5.4444,0.078947
2.5,5.6667,0.078947
2.5,5.8889,0.078947
2.5,6.1111,0.078947
2.5,6.3333,0.078947
2.5,6.5556,0.078947
2.5,6.7778,0.078947
2.5,7,0.078947
1,5,0.23684
1,5.2222,0.23684
1,5.4444,0.23684
1,5.6667,0.23684
1,5.8889,0.23684
1,6.1111,0.23684
1,6.3333,0.23684
1,6.5556,0.23684
1,6.7778,0.23684
1,7,0.23684
1.1667,5,0.23684
1.1667,5.2222,0.23684
1.1667,5.4444,0.23684
1.1667,5.6667,0.23684
1.1667,5.8889,0.23684
1.1667,6.1111,0.23684
1.1667,6.3333,0.23684
1.1667,6.5556,0.23684
1.1667,6.7778,0.23684
1.1667,7,0.23684
1.3333,5,0.23684
1.3333,5.2222,0.23684
1.3333,5.4444,0.23684
1.3333,5.6667,0.23684
1.3333,5.8889,0.23684
1.3333,6.1111,0.23684
1.3333,6.3333,0.23684
1.3333,6.5556,0.23684
1.3333,6.7778,0.23684
1.3333,7,0.23684
1.5,5,0.23684
1.5,5.2222,0.23684
1.5,5.4444,0.23684
1.5,5.6667,0.23684
1.5,5.8889,0.23684
1.5,6.1111,0.23684
1.5,6.3333,0.23684
1.5,6.5556,0.23684
1.5,6.7778,0.23684
1.5,7,0.23684
1.6667,5,0.23684
1.6667,5.2222,0.23684
1.6667,5.4444,0.23684
1.6667,5.6667,0.23684
1.6667,5.8889,0.23684
1.6667,6.1111,0.23684
1.6667,6.3333,0.23684
1.6667,6.5556,0.23684
1.6667,6.7778,0.23684
1.6667,7,0.23684
1.8333,5,0.23684
1.8333,5.2222,0.23684
1.8333,5.4444,0.23684
1.8333,5.6667,0.23684
1.8333,5.8889,0.23684
1.8333,6.1111,0.23684
1.8333,6.3333,0.23684
1.8333,6.5556,0.23684
1.8333,6.7778,0.23684
1.8333,7,0.23684
2,5,0.23684
2,5.2222,0.23684
2,5.4444,0.23684
2,5.6667,0.23684
2,5.8889,0.23684
2,6.1111,0.23684
2,6.3333,0.23684
2,6.5556,0.23684
2,6.7778,0.23684
2,7,0.23684
2.1667,5,0.23684
2.1667,5.2222,0.23684
2.1667,5.4444,0.23684
2.1667,5.6667,0.23684
2.1667,5.8889,0.23684
2.1667,6.1111,0.23684
2.1667,6.3333,0.23684
2.1667,6.5556,0.23684
2.1667,6.7778,0.23684
2.1667,7,0.23684
2.3333,5,0.23684
2.3333,5.2222,0.23684
2.3333,5.4444,0.23684
2.3333,5.6667,0.23684
2.3333,5.8889,0.23684
2.3333,6.1111,0.23684
2.3333,6.3333,0.23684
2.3333,6.5556,0.23684
2.3333,6.7778,0.23684
2.3333,7,0.23684
2.5,5,0.23684
2.5,5.2222,0.23684
2.5,5.4444,0.23684
2.5,5.6667,0.23684
2.5,5.8889,0.23684
2.5,6.1111,0.23684
2.5,6.3333,0.23684
2.5,6.5556,0.23684
2.5,6.7778,0.23684
2.5,7,0.23684
1,5,0.39474
1,5.2222,0.39474
1,5.4444,0.39474
1,5.6667,0.39474
1,5.8889,0.39474
1,6.1111,0.39474
1,6.3333,0.39474
1,6.5556,0.39474
1,6.7778,0.39474
1,7,0.39474
1.1667,5,0.39474
1.1667,5.2222,0.39474
1.1667,5.4444,0.39474
1.1667,5.6667,0.39474
1.1667,5.8889,0.39474
1.1667,6.1111,0.39474
1.1667,6.3333,0.39474
1.1667,6.5556,0.39474
1.1667,6.7778,0.39474
1.1667,7,0.39474
1.3333,5,0.39474
1.3333,5.2222,0.39474
1.3333,5.4444,0.39474
1.3333,5.6667,0.39474
1.3333,5.8889,0.39474
1.3333,6.1111,0.39474
1.3333,6.3333,0.39474
1.3333,6.5556,0.39474
1.3333,6.7778,0.39474
1.3333,7,0.39474
1.5,5,0.39474
1.5,5.2222,0.39474
1.5,5.4444,0.39474
1.5,5.6667,0.39474
1.5,5.8889,0.39474
1.5,6.1111,0.39474
1.5,6.3333,0.39474
1.5,6.5556,0.39474
1.5,6.7778,0.39474
1.5,7,0.39474
1.6667,5,0.39474
1.6667,5.2222,0.39474
1.6667,5.4444,0.39474
1.6667,5.6667,0.39474
1.6667,5.8889,0.39474
1.6667,6.1111,0.39474
1.6667,6.3333,0.39474
1.6667,6.5556,0.39474
1.6667,6.7778,0.39474
1.6667,7,0.39474
1.8333,5,0.39474
1.8333,5.2222,0.39474
1.8333,5.4444,0.39474
1.8333,5.6667,0.39474
1.8333,5.8889,0.39474
1.8333,6.1111,0.39474
1.8333,6.3333,0.39474
1.8333,6.5556,0.39474
1.8333,6.7778,0.39474
1.8333,7,0.39474
2,5,0.39474
2,5.2222,0.39474
2,5.4444,0.39474
2,5.6667,0.39474
2,5.8889,0.39474
2,6.1111,0.39474
2,6.3333,0.39474
2,6.5556,0.39474
2,6.7778,0.39474
2,7,0.39474
2.1667,5,0.39474
2.1667,5.2222,0.39474
2.1667,5.4444,0.39474
2.1667,5.6667,0.39474
2.1667,5.8889,0.39474
2.1667,6.1111,0.39474
2.1667,6.3333,0.39474
2.1667,6.5556,0.39474
2.1667,6.7778,0.39474
2.1667,7,0.39474
2.3333,5,0.39474
2.3333,5.2222,0.39474
2.3333,5.4444,0.39474
2.3333,5.6667,0.39474
2.3333,5.8889,0.39474
2.3333,6.1111,0.39474
2.3333,6.3333,0.39474
2.3333,6.5556,0.39474
2.3333,6.7778,0.39474
2.3333,7,0.39474
2.5,5,0.39474
2.5,5.2222,0.39474
2.5,5.4444,0.39474
2.5,5.6667,0.39474
2.5,5.8889,0.39474
2.5,6.1111,0.39474
2.5,6.3333,0.39474
2.5,6.5556,0.39474
2.5,6.7778,0.39474
2.5,7,0.39474
